COPY 2610
ma,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,MMAPSite2013,CAVEPHOTO,92,real,YES,
public,MMAPSite2013,SPELPHOTO,93,real,YES,
public,MMAPSite2013,IMAGECOMM,94,text,YES,
public,MMAPSite2013,DRYSWIDDEN,95,real,YES,
public,MMAPSite2013,WETRICE,96,real,YES,
public,MMAPSite2013,ORCHARDS,97,real,YES,
public,MMAPSite2013,OTHERHORT,98,real,YES,
public,MMAPSite2013,FLOODREC,99,real,YES,
public,MMAPSite2013,CROPS,100,text,YES,
public,MMAPSite2013,NATVEG,101,text,YES,
public,MMAPSite2013,WLDEDPL,102,text,YES,
public,MMAPSite2013,INDPLANT,103,text,YES,
public,MMAPSite2013,FAUNA,104,text,YES,
public,MMAPSite2013,COMMFOR,105,real,YES,
public,MMAPSite2013,NATFOR,106,real,YES,
public,MMAPSite2013,GRASSLND,107,real,YES,
public,MMAPSite2013,ARTDENS,108,real,YES,
public,MMAPSite2013,NRPRIMRV,109,text,YES,
public,MMAPSite2013,ENVCOMM,110,text,YES,
public,MMAPSite2013,ARTCOMM,111,text,YES,
public,MMAPSite2013,POINT_X,112,real,YES,
public,MMAPSite2013,POINT_Y,113,real,YES,
public,MMAPSite2013,CVMTHDIR,114,text,YES,
public,MMAPSite2013,UTM_X,115,real,YES,
public,MMAPSite2013,UTM_Y,116,real,YES,
public,MMAPSite2013,GIS_CODE,117,real,YES,
public,RevisitedXY,ID1,1,integer,NO,
public,RevisitedXY,ID,2,real,YES,
public,RevisitedXY,SITE_NAME,3,text,YES,
public,RevisitedXY,ENV_CONTXT,4,text,YES,
public,RevisitedXY,ACCESS,5,text,YES,
public,RevisitedXY,VILL_NAME,6,text,YES,
public,RevisitedXY,CAVE,7,real,YES,
public,RevisitedXY,ROCKSHELT,8,real,YES,
public,RevisitedXY,TALUS,9,real,YES,
public,RevisitedXY,RIVERBANK,10,real,YES,
public,RevisitedXY,OPENAIR,11,real,YES,
public,RevisitedXY,HIST_REL,12,real,YES,
public,RevisitedXY,MEGALITH,13,real,YES,
public,RevisitedXY,VILLAGE_ID,14,text,YES,
public,RevisitedXY,STFLAKES,15,real,YES,
public,RevisitedXY,STCORE,16,real,YES,
public,RevisitedXY,PARTPOLISH,17,real,YES,
public,RevisitedXY,FULLPOLISH,18,real,YES,
public,RevisitedXY,PECKPOLISH,19,real,YES,
public,RevisitedXY,STWARE,20,real,YES,
public,RevisitedXY,CORDEARTH,21,real,YES,
public,RevisitedXY,BEADS,22,real,YES,
public,RevisitedXY,COPPERART,23,real,YES,
public,RevisitedXY,IRONART,24,real,YES,
